yyyyddd,Central_Arctic
2015293,3086489.26
2015294,3120767.12
2015295,3136577.03
2015296,3132625.93
2015297,3136766.84
2015298,3136766.84
2015299,3137774.99
2015300,3146024.96
2015301,3153222.19
2015302,3153687.6
2015303,3154639.2
2015304,3184721.06
2015305,3165622.72
2015306,3173021.37
2015307,3173021.37
2015308,3172055.53
2015309,3174595.43
2015310,3181003.65
2015311,3207606.92
2015312,3207606.92
2015313,3196805.47
2015314,3197286.18
2015315,3185801.68
2015316,3185801.68
2015317,3183371
2015318,3174042.84
2015319,3174088.28
2015320,3174876.77
2015321,3174876.77
2015322,3193573.04
2015323,3176011.5
2015324,3176011.5
2015325,3199183.37
2015326,3196253.23
2015327,3196253.23
2015328,3196253.23
2015329,3199058.19
2015330,3201145.26
2015331,3203577.13
2015332,3203577.13
2015333,3203595.28
2015334,3203595.28
2015335,3213742.85
2015336,3213742.85
2015337,3212765.04
2015338,3177112.74
2015339,3189010.66
2015340,3189010.66
2015341,3189010.66
2015342,3167186.47
2015343,3169867.03
2015344,3169867.03
2015345,3198832.11
2015346,3199705.61
2015347,3207972.42
2015348,3207972.42
2015349,3207547.61
2015350,3207547.61
2015351,3206866.73
2015352,3207038.04
2015353,3207383.55
2015354,3207383.55
2015355,3207383.55
2015356,3207383.55
2015357,3207383.55
2015358,3208700
2015359,3208700
2015360,3208700
2015361,3208700
2015362,3208793.01
2015363,3208793.01
2015364,3209561.15
2015365,3203880
2016001,3207775.12
2016002,3227137.5
2016003,3240165.95
2016004,3209685.1
2016005,3246712.52
2016006,3246712.52
2016007,3206139.8
2016008,3206139.8
2016009,3203860.06
2016010,3203860.06
2016011,3203860.06
2016012,3180488.55
2016013,3180278.01
2016014,3204197.74
2016015,3223603.45
2016016,3228652.77
2016017,3240672.7
2016018,3238298.1
2016019,3238298.1
2016020,3201073.76
2016021,3223097.43
2016022,3220773.46
2016023,3220773.46
2016024,3220773.46
2016025,3214299.62
2016026,3214299.62
2016027,3214299.62
2016028,3221329.59
2016029,3221329.59
2016030,3221329.59
2016031,3221329.59
2016032,3221329.59
2016033,3221329.59
2016034,3221761.57
2016035,3221761.57
2016036,3205870.18
2016037,3205870.18
2016038,3205870.18
2016039,3220997.31
2016040,3220997.31
2016041,3221029.02
2016042,3218271.55
2016043,3215433.88
2016044,3211477.56
2016045,3211477.56
2016046,3211477.56
2016047,3212139.99
2016048,3212139.99
2016049,3212139.99
2016050,3200394.08
2016051,3195091.1
2016052,3195091.1
2016053,3195091.1
2016054,3195091.1
2016055,3203912.99
2016056,3196835.12
2016057,3199341.57
2016058,3207998.87
2016059,3209231.56
2016060,3209231.56
2016061,3209231.56
2016062,3209231.56
2016063,3203328.74
2016064,3203465.83
2016065,3203465.83
2016066,3174441.86
2016067,3189879.32
2016068,3190952.41
2016069,3185220.64
2016070,3176672.03
2016071,3171934.25
2016072,3171934.25
2016073,3164997.06
2016074,3150635.3
2016075,3162610.06
2016076,3164684.42
2016077,3164684.42
2016078,3189811.32
2016079,3189811.32
2016080,3192542.17
2016081,3201145.71
2016082,3211019.66
2016083,3218641.92
2016084,3238069.44
2016085,3242119.55
2016086,3225392.86
2016087,3225392.86
2016088,3226140.53
2016089,3226175.69
2016090,3226197.28
2016091,3226197.28
2016092,3206649.81
2016093,3197527.44
2016094,3201042.96
2016095,3200367.92
2016096,3194873.34
2016097,3219588.58
2016098,3219588.58
2016099,3214647.35
2016100,3214665.59
2016101,3217666.77
2016102,3220212.18
2016103,3220212.18
2016104,3210798.16
2016105,3222002.34
2016106,3238390.76
2016107,3238390.76
2016108,3238390.76
2016109,3241124.62
2016110,3241158.62
2016111,3245275.56
2016112,3244727.7
2016113,3244727.7
2016114,3243954.65
2016115,3245289.14
2016116,3245244.99
2016117,3244267.35
2016118,3247833.18
2016119,3238923.11
2016120,3239410.79
2016121,3239749.59
2016122,3239749.59
2016123,3239749.59
2016124,3239749.59
2016125,3239854.86
2016126,3239107.49
2016127,3221924.44
2016128,3219928.16
2016129,3219928.16
2016130,3224003.36
2016131,3228899.25
2016132,3228899.25
2016133,3228899.25
2016134,3219386.83
2016135,3195811.54
2016136,3199415.54
2016137,3199423.49
2016138,3199531.47
2016139,3214600.7
2016140,3213579.83
2016141,3210596.35
2016142,3210596.35
2016143,3210596.35
2016144,3196233.04
2016145,3193866.22
2016146,3193866.22
2016147,3194596.3
2016148,3165209.85
2016149,3151248.79
2016150,3133930.84
2016151,3130227.84
2016152,3130227.84
2016153,3141002.89
2016154,3139514.42
2016155,3142084.32
2016156,3142084.32
2016157,3147506.28
2016158,3175790.92
2016159,3174941.68
2016160,3174941.68
2016161,3181953.48
2016162,3181802.05
2016163,3181802.05
2016164,3181802.05
2016165,3181802.05
2016166,3221147.89
2016167,3218951.75
2016168,3218951.75
2016169,3218951.75
2016170,3208366.67
2016171,3189402.58
2016172,3177887.74
2016173,3174875.01
2016174,3186927.63
2016175,3188876.37
2016176,3188876.37
2016177,3185446.28
2016178,3181906.77
2016179,3180614.3
2016180,3180614.3
2016181,3182948.34
2016182,3175470.17
2016183,3166159.08
2016184,3164610.9
2016185,3164610.9
2016186,3164610.9
2016187,3164479.56
2016188,3164479.56
2016189,3164479.56
2016190,3150957.74
2016191,3146792.81
2016192,3146792.81
2016193,3131304.11
2016194,3116194.1
2016196,3102657.31
2016197,3099576.67
2016198,3098408.33
2016199,3097358.15
2016200,3089159.01
2016201,3088058.71
2016202,3086731.4
2016203,3065366.73
2016204,3061185.76
2016205,3080075.76
2016206,3080075.76
2016207,3079054.74
2016208,3079023.06
2016209,3087917.1
2016210,3120694.88
2016211,3118769.13
2016212,3117496.41
2016213,3097673.95
2016214,3099528.47
2016215,3095499.74
2016216,3107130.6
2016217,3110153.98
2016218,3094847.32
2016219,3144291.12
2016220,3151676.97
2016221,3146464.32
2016222,3140377.83
2016223,3134607.73
2016224,3137553.64
2016225,3123053.81
2016226,3134044.69
2016227,3106227.34
2016228,3120045.21
2016229,3134377.92
2016230,3123353.85
2016231,3116413.33
2016232,3079083.31
2016233,3052995.76
2016234,3043148.78
2016235,3055838.87
2016236,3074925.52
2016237,3009065.33
2016238,2963352.75
2016239,2936337.95
2016240,2976695.96
2016241,2965023.88
2016242,2947280.51
2016243,2877297.06
2016244,2871050.59
2016245,2907882.27
2016246,2896865.51
2016247,2859050.02
2016248,2842958.64
2016249,2827029.08
2016250,2828076.17
2016251,2805660.3
2016252,2822653.86
2016253,2831902.9
2016254,2837388.19
2016255,2881560.45
2016256,2902480.91
2016257,2908220.3
2016258,2931003.52
2016259,2934128.1
2016260,2924076.33
2016261,2935618.36
2016262,2955201.84
2016263,2980606.01
2016264,3012111.58
2016265,2992996.91
2016266,2992579
2016267,2988440.94
2016268,3000178.52
2016269,3045054.1
2016270,3069601.34
2016271,3075304.98
2016272,3096934.32
2016273,3111026.3
2016274,3111259.47
2016275,3118300.95
2016276,3109369.02
2016277,3095179.02
2016278,3086354.34
2016279,3079443.71
2016280,3050637.44
2016281,3045986.94
2016282,3038575.84
2016283,3042886.24
2016284,3092393.42
2016285,3078345.4
