y_true,y_pre
0.8308668,0.8271495492187377
0.82663846,0.8278496439298471
0.82663846,0.8257312405549613
0.820296,0.8251174771734087
0.8181818,0.8204246326887262
0.81395346,0.8181209089921767
0.807611,0.8123618051862858
0.79915434,0.8061725168586398
0.7906977,0.797018983058739
0.78435516,0.7881603884544193
0.7758985,0.7783462949658628
0.7653277,0.7687268545399126
0.75475687,0.7582891582489423
0.74207187,0.7461316212167758
0.72938687,0.7328782894190641
0.71881604,0.7191622181823968
0.70190275,0.7054572592819469
0.68498945,0.6904595243440451
0.6701903,0.6730381829324917
0.653277,0.6551671716091727
0.63424945,0.6375188749983709
0.615222,0.618834879282435
0.59196615,0.5998784353303014
0.57716703,0.5781001039574071
0.5560254,0.5597264384437334
0.53488374,0.5404198937667357
0.5116279,0.5219176885742334
0.49048626,0.5013540730365225
0.46723044,0.48132799394648385
0.44820297,0.46105030936557145
0.422833,0.4429955180118589
0.40591967,0.42341734204684706
0.38266385,0.4059741079758418
0.3615222,0.38771221117201216
0.34249473,0.36941463716851397
0.3192389,0.3519138613921537
0.30232558,0.3338281072122287
0.2832981,0.3157460864859665
0.2642706,0.29928520082059656
0.24524313,0.28210694921215557
0.23044397,0.2653311926973118
0.2114165,0.24936323234000748
0.1987315,0.23382843212918505
0.18393235,0.21937749045766328
0.17124736,0.20573581036841387
0.1564482,0.19306650027206013
0.15010571,0.1806504130894528
0.13319239,0.17013516971647835
0.122621566,0.1597263443526015
0.122621566,0.14855213440972898
0.11205074,0.14108931980305536
0.10993657,0.13493348905669197
0.10359408,0.12963116212343984
0.09725159,0.12495421547587579
0.09936575,0.12046758914859758
0.09513742,0.11723806787035493
0.09090909,0.11507768290015398
0.09936575,0.11257380311702933
0.09936575,0.11264355175519478
0.10147992,0.11438437458988346
0.10570825,0.11573185134229193
0.10993657,0.11775456773979286
0.1205074,0.1207372683221353
0.12684989,0.12540381719112315
0.12896407,0.1312127253774547
0.14587738,0.13643700572278097
0.15010571,0.1433079812761237
0.1627907,0.15155369504360858
0.17758985,0.15938958384930418
0.18816067,0.16997973363673372
0.205074,0.18057297648451565
0.21987315,0.19300595068851328
0.23044397,0.20705995502132615
0.24947146,0.22028861051021506
0.2642706,0.23536449565484863
0.2769556,0.251574513631671
0.29386893,0.2674553883668726
0.31078225,0.283053732251081
0.32769555,0.3004080208433788
0.3488372,0.31873437582834463
0.36363637,0.3381811951221606
0.38689217,0.3578955743227685
0.4038055,0.37908966271342526
0.42494714,0.4007228928088766
0.44186047,0.42370978676503873
0.46300212,0.44608832446902574
0.47991544,0.46877126429429616
0.4989429,0.4907618433267737
0.5179704,0.5122417195112976
0.53488374,0.5333939011840892
0.54968286,0.5533893749409319
0.5729387,0.5710791999750997
0.5856237,0.5896474912019211
0.60465115,0.6068824595443247
0.6236786,0.622646191922575
0.63213533,0.638882832150643
